1.1,boy25cm深蓝金荔枝皮 20开 热殿已查码,17500,4800,7311,24 21.04,2024,20021459,,
2.01,cf 小v纹季节款红金羊21开 仙石已查码,7700,2480,5270,24 12.09,2024,21764890,,
2.01,boy25cm黑金荔枝皮 28开有卡两个尘袋美库阿琪已查码,25500,6100,6485,24 27.02,2024,28984722,,
2.01,boy28cm黑金羊 20开有卡 pan已查码,15200,4400,7714,24 12.05,2024,20427187,,
2.01,cf中号玫红银羊 19开有卡 尘袋 闲鱼卖货验货宝 hubby,19109,4880,6248,24 26.02,2024,19675566,,
2.01,boy25cm 大格番茄红银牛18开卡票 闲鱼大白兔验货宝 hubby,8079,2800,6122,24 29.03,2024,18886629,温州 24.03.26✔️ 12个,24过年拿回07，已回来
2.01,boy30cm大格黑银羊 18开 邹泰文已查码,9500,2990,5821,24 03.03,2024,18281885,,
2.01,boy25cm黑金荔枝皮 30开有卡票盒尘袋 邹泰文已查码,25500,6350,7961,24 17.02,2024,30845936,,
2.01,cf 中号有孔季节款银银羊 20开有卡 邹泰文查码,11500,3180,4928,24 01.05,2024,20752717,,
2.01,季节款相机包黑金牛 23开 邹泰文,10000,2900,5416,24 25.08,2024,23126381,,
2.01,boy25cm深绿金荔枝皮 30开尘袋 邹泰文已查码,18000,4750,7005,24 18.03,2024,30310065,,
4.01,cf 大mini漆皮v纹金限量款 25开有卡票 kiki已查码,8000,2900,6674,24 08.02,2024,,,
4.01,boy25cm樱花粉金荔枝皮 29开有卡尘袋 邹泰文已查码,18000,5700,11698,24 01.02,2024,29790924,,
4.01,boy25cm深粉金荔枝皮 25开有卡 邹泰文已查码,17500,4650,6571,24 08.02,2024,,,
4.01,cf有空季节款红银羊11开 栗子已查码,6500,2500,6214,24 05.03,2024,11253116,,
4.01,boy28cm v纹黑银荔枝皮 24开有卡尘袋 奢收多同行已查码,20000,5418,8491,24 23.03,2024,24414464,温州 24.03.15✔️12个,24过年拿回06，已回来
4.01,cf jumbo漆皮杏色 15开有卡 奢收多同行已查码,6500,2600,6864,24 12.06,2024,15446020,,
4.01,pst杏棕 11开 闲鱼清包柜,7479,2400,4539,24 06.02,2024,,,
4.01,boy25cm v纹深蓝荔枝皮 26开尘袋 闲鱼洁士验货宝,20109,5480,8406,24 29.01,2024,26079583,,
4.01,cf中号橙红银荔枝皮 14开 闲鱼奢侈品验货宝,16909,5300,10849,24 26.03,2024,,,
5.01,boy25cm黑银羊 16开 奢收多同行,14000,4100,7390,24 05.08,2024,16270454,24过年拿回05，已回来,温州 24.03.17✔️ 19个
5.01,cf季节款中号v纹红金羊21开 闲鱼二奢验货宝 hubby,6579,2580,6723,24 18.05,2024,21770744,,
6.01,cf大mini 黑金块状皮 21开 四喜已查码,12000,4200,9803,24 23.02,2024,21991369,,
8.01,boy25cm深绿金荔枝皮19开 闲鱼底特律验货宝 hubby,14109,4330,8617,24 21.11,2024,19717260,,
8.01,cf季节款小号v纹黑金羊 21开有卡闲鱼瓦杜兹验货宝 hubby,12109,3700,6937,24 18.02,2024,21918556,,
