19.06,lady 5格羊皮橙色 有卡 兔子,6600,2450,4900,22 3.07,2022,
2.07,lady 4格徽章款羊皮粉色 金鱼,12500,3700,5150,23 23.07,2022,
2.07,lady 5格羊皮龙虾粉色 兔子(来自欧尚)(护理）,8300,2320,3409,23 4.11,2022,
3.07,lady 5格羊皮红色 有卡 凯诺（护理）,9500,2600,3000,23 22.07,2022,
4.07,lady 4格徽章款羊皮奶白色 胖南瓜,13300,2900,700,23 21.07,2022,
5.07,lady 4格徽章款羊皮红色有卡 兔子,12500,3500,4400,23 30.07,2022,
8.07,lady 5格羊皮红色 兔子(护理）,8200,2250,2478,23 17.09,2022,
9.07/13.07,lady 5格羊皮粉色 常州(护理）,5300,1550,1800,23 22.08,2022,
17.07/19.07,lady 7格羊皮粉色全套 qiqi,5800,2450,5789,23 7.08,2022,
20.07,lady 5格漆皮红色 豆妈,5200,1600,2360,23 18.08,2022,
23.07,lady 5格羊皮红色 闲鱼ivy,8800,2804,4721,23 7.08,2022,
23.07,Diorama银色钱包,2100,450,70,23 28.08,2022,
24.07/01.08,lady 3格粉红全新有卡 闲鱼 C,14000,3350,2281,23 4.09,2022,
25.07/26.07,lady 5格漆皮杏色 闲鱼vivi,4250,1500,3028,23 8.09,2022,
27.07/29.07,lady 5格羊皮红色 成都护理 许愿糖,6800,2500,5273,23 02.10.,2022,
3.07,Diorama 银色mini woc Qiqi,2700,800,1140,23 16.08,2022,
30.07,lady 5格羊皮克莱因蓝 闲鱼徐彪,7580,2400,4512,23 6.11,2022,
31.07,lady 5格羊皮克海军蓝无肩带 闲鱼贺昊彬,5600,2150,4835,23 7.09,2022,
2.08,lady 3格粉红全新有卡 闲鱼 个人,10000,3200,5568,23 25.08,2022,
8.08/14.08,lady 5格粉红色 有卡 豆妈,7500,2600,5242,23 16.09,2022,
14.08,lady 7格正红色有卡无肩带 闲鱼妍妍,4800,1800,3855,23 4.09,2022,
16.08,lady 4格羊皮黑色徽章款尘袋 闲鱼,14500,3800,4175,23 17.09,2022,
16.08,Diorama 银色woc 闲鱼,3600,1100,1627,23 5.09,2022,
19.08,lady 5格漆皮红色 闲鱼 张先生包子铺,5015,1470,2100,23 08.10.,2022,
19.08,lady 7格黄金色 有卡 闲鱼 大众奢侈,7000,2360,4432,23 6.08,2022,
21.08,lady 5格杏色 护理 代代橙,8000,2400,3930,23 10.11,2022,
21.08,lady 5格褐色 护理 代代橙,8000,2500,3762,23 10.09,2022,
22.08,lady 4格红色 Jo奢,11300,3200,4936,23 28.10.,2022,
28.08,黑金7格99新有卡 美美的小北,8600,2600,4515,23 30.10.,2022,
28.08,lady 3格红色防尘闲鱼天狼星,10500,3350,5370,23 10.09,2022,
29.08,lady 3格红色卡防尘票闲鱼爱吃洛阳,8000,3050,6930,23 12.09,2022,
2.09,lady 7格漆皮红色 乐园,2700,1200,2793,23 27.09,2022,
2.09,lady 7格漆皮杏色有卡尘袋 闲鱼 南京奢管家,4100,1750,4410,23 16.09,2022,
4.09,dior tote 蓝色漆皮 乐园,1600,600,1200,23 15.10.,2022,
5.09,lady 7格羊皮玫红色 闲鱼 未来可期,6179,2200,4553,23 02.10.,2022,
9.09,lady 7格羊皮玫红有卡 闲鱼 TiTi,6400,2268,5209,23 29.05,2023,
10.09,lady 5格粉红色有卡澳门 闲鱼竹八蛋,4888,2050,5070,23 10.10.,2022,
10.09,lady 3格玫红色卡防尘票闲鱼鹌鹑,9596,3200,6101,23 01.10.,2022,
14.09,lady 7格灰色有卡尘袋 闲鱼 叮叮当当,8000,2650,5371,23 30.10.,2022,
15.09,lady 3格樱花粉 防尘闲鱼大大大大鱼,9999,3750,8221,23 29.09,2022,
